Username,Comment,Entity_Sentiments
byte_composer,When the front developer is on leave,"[{'Entity': 'developer', 'Sentiment': 'Neutral'}]"
sergejdk_sdk,I kinda like it ğŸ”¥,[]
low.visualz,And why you using string for int,[]
j_zahraoui,When backend developer does FE what is ui just get ur rest response and shut upğŸ¤£,"[{'Entity': 'FE', 'Sentiment': 'Neutral'}]"
digitallyhuman,I wish my apple watch would have third party watch faces like this,[]
brankl_,"Disgusting. This reminds me too much of work , which Is the last thing I want to think about outside of work",[]
chrisdev____,JSON las ocho ğŸ˜‚ğŸ˜‚,[]
ali_.aais,No ui faster speedsğŸ¤£,"[{'Entity': 'ğŸ¤£', 'Sentiment': 'Neutral'}]"
axeldavid_acosta,I WANT THIS,[]
betanzo.91,"Well, the battery will last forever",[]
honeysailor2,This is very nice actually ğŸ˜‚,[]
andyslug_czsk,The watch is fitbit,[]
tmrldev,Opened a json file in vscode?,[]
0_abu.0,Which is best coding typing app ???,[]
beyond_singularity_,It is better ğŸ”¥ğŸ˜‚,[]
byte_composer,When the front developer is on leave,[]
sergejdk_sdk,I kinda like it ğŸ”¥,[]
j_zahraoui,When backend developer does FE what is ui just get ur rest response and shut upğŸ¤£,"[{'Entity': 'FE', 'Sentiment': 'Neutral'}]"
low.visualz,And why you using string for int,[]
brankl_,"Disgusting. This reminds me too much of work , which Is the last thing I want to think about outside of work",[]
ali_.aais,No ui faster speedsğŸ¤£,"[{'Entity': 'ğŸ¤£', 'Sentiment': 'Neutral'}]"
digitallyhuman,I wish my apple watch would have third party watch faces like this,[]
chrisdev____,JSON las ocho ğŸ˜‚ğŸ˜‚,[]
axeldavid_acosta,I WANT THIS,[]
betanzo.91,"Well, the battery will last forever",[]
honeysailor2,This is very nice actually ğŸ˜‚,[]
andyslug_czsk,The watch is fitbit,[]
tmrldev,Opened a json file in vscode?,[]
0_abu.0,Which is best coding typing app ???,[]
beyond_singularity_,It is better ğŸ”¥ğŸ˜‚,[]
germy_germs117,Siiiiicckkk!!!!,[]
axeldavid_acosta,I WANT THIS,[]
marcorocheles,"bro just consumes it in a front, stop","[{'Entity': 'bro', 'Sentiment': 'Neutral'}]"
ggaby_192,@jfrank241485  uno asi,[]
mfvnzl,ğŸ˜³ğŸ˜³ğŸ˜³,[]
ivanreald,Lovely â¤ï¸,[]
andrew.oid,How?,[]
devemanuelangelo,Usaria fÃ¡cil,"[{'Entity': 'Usaria', 'Sentiment': 'Neutral'}]"
_abdou_coyg_,ğŸ”¥ğŸ”¥ğŸ”¥,[]
utsav.mishra.7545,Watch name and price,[]
the.devdude,ğŸ˜,[]
__lalit_._,@@@Ã ,"[{'Entity': '@@@Ã ', 'Sentiment': 'Neutral'}]"
eduarda_2y,ğŸ”¥ğŸ”¥,[]
eduarda_2y,ğŸ™ŒğŸ™Œ,[]
mhd_masry,API ğŸ˜,"[{'Entity': 'API', 'Sentiment': 'Neutral'}]"
elizabthpazp__,love it,[]
claudia.perroni,ğŸ‘ğŸ‘,[]
yasrefiyzada,ğŸ˜‚ğŸ™Œ,[]
isol8ed_abhi,Shut up and take my money,[]
abdujamol.dev,ğŸ˜‚,[]
hrlmurat41,ğŸ˜‚ğŸ˜‚ğŸ˜‚ Ben de telefondan yapÄ±yorum,"[{'Entity': 'Ben de telefondan', 'Sentiment': 'Neutral'}]"
preston.xa,ğŸ”¥ğŸ”¥,[]
novettam,I love it!,[]
canexitcomment3,Your watch is saying itâ€™s time to get a life,[]
abdu.razzakov_1,whitout css,[]
not_me___.___.__,Damn writing on a small sreenğŸ™ŒğŸ™ŒğŸ™Œ,[]
mhmd._.abdur,Is this watch face in garmin ?,[]
zxnoky,Coding in smart watch,[]
codetheforce,ğŸ”¥,[]
specsycoder,Great .. but how you type there?,[]
nephtaliee.d,Love itt,[]
sam_jwara,Kinda fireğŸ”¥,"[{'Entity': 'Kinda', 'Sentiment': 'Neutral'}]"
itcrypto.my,It's that real code or just a theme,[]
lriplindia,ğŸ‘ğŸ‘,[]
widget_mael,Ah ah ah. At first glance Iâ€™ll say itâ€™s an image,[]
md_lab26,ğŸ”¥ğŸ”¥ğŸ”¥,[]
i9_net,JSON â¤ï¸,[]
bekhruz_khoshimov_,It's image,[]
rivyson,Whats the theme name?,[]
photosbyfelipe_,Why would someone do this? ğŸ˜‚,[]
josue_chavez_503,json âœ¨,"[{'Entity': 'json âœ¨', 'Sentiment': 'Neutral'}]"
tabthedev,ì§„ì§œ ê·¸ëŒ€ë¡œ ë‚˜íƒ€ë‚´ëŠ” json ã„·ã„·,[]
quentin.hassan.369,NooooğŸ˜®,[]
sultanov.dee,ğŸ˜‚ğŸ˜‚ğŸ˜‚,[]
_don1yorovvich_,Why ğŸ˜²,[]
doniyorqalandarovislomboyevich,AwesomeğŸ”¥,[]
jordaogdz,932 caloriasâ˜ ï¸,[]
akshat.jha17,"can someone please help how can I get it for amazfit gtr 47mm, in . bin format maybe","[{'Entity': 'bin format', 'Sentiment': 'Neutral'}]"
yigido.72,u need a little bit html for skeleton painting css,[]
saslejj,Json goes brhhh,[]
aymennotaimen,I like my data RAW,"[{'Entity': 'RAW', 'Sentiment': 'Negative'}]"
cristian.dev_lens,,[]
low.visualz,Bro forgot the semicolons,[]
m.khirchoff,Bro got a pip boy,[]
_a_xusanov_,ğŸ˜‚,[]
addiler.cmd,How,[]
stoianalexandrucosmin,Looks better than at lot of UIs,[]
kg_the_1,@apple why you no copy?,[]
pasenerc,I want that ğŸ¤·ğŸ¼â€â™€ï¸,"[{'Entity': 'ğŸ¤·', 'Sentiment': 'Neutral'}]"
webmakersenterprise,I need that,[]
lux_lucifer_lux,It this is legit I want it on my Samsung watch.,"[{'Entity': 'Samsung', 'Sentiment': 'Neutral'}]"
fangbuilt,@theodevoid,"[{'Entity': '@theodevoid', 'Sentiment': 'Neutral'}]"
za1d.m.salih,Json is the goat,"[{'Entity': 'Json', 'Sentiment': 'Neutral'}]"
rye_dho_rambu,Enough please ğŸ˜‚,[]
vocaloidotaku39,Behind the screens,[]
essamsoft,Battery should be Float,"[{'Entity': 'Float', 'Sentiment': 'Neutral'}]"
florafades,honestly vibes,[]
m_bajar_,"bro has static ui, that shit doesnt update","[{'Entity': 'bro', 'Sentiment': 'Neutral'}]"
volchevaa,@bozankailieva,[]
akhilnairx,GUYS ITS WALLPAPER ğŸ˜‚,[]
asrorcik07,,[]
siddhusays,Its ironic that he coded the front end to make it look like he doesn't need the front end,[]
cartelwebs,"haha, sick",[]
noarbel__,StringsğŸ˜­,[]
adiel.skl,Linux watch,[]
os3nd,that key at the end makes no sense xDD,[]
ozan_9340,why put strings on dynamic data...,[]
james_brono_1313,VScode,"[{'Entity': 'VScode', 'Sentiment': 'Neutral'}]"
lindonnmarajj,how did u manage to do that?,[]
mudassir_khan547,I need this watch please tell me from where i can found that?,[]
aslan_hmyr,Allah aÅŸkÄ±na akÄ±llÄ± saatten cmd aÃ§mayÄ± nasÄ±l becerdiniz????,[]
___ayush____01_,Open it in jupyter notebook,[]
s1nt4x,I want this as a watch face,[]
dhru7aan_suyani,Hr - 106 ğŸ˜¼ğŸ’€,"[{'Entity': 'Hr - 106', 'Sentiment': 'Neutral'}]"
matthedev53,I need,[]
alexis_daijin,Hahaha,"[{'Entity': 'Hahaha', 'Sentiment': 'Positive'}]"
zergling_73,Where can I get this app?ğŸ”¥,[]
ai1cz,@dty52023  Ø¨Ø³ Ø±Ø¯ÙŠ  Ø¹ Ø®Ø§Øµ Ù…Ø­ØªØ§Ø¬ Ù…Ø³Ø§Ø¹Ø¯ØªØ¬,"[{'Entity': '@dty52023', 'Sentiment': 'Neutral'}]"
alphagamedeveloper,I have that on my Versa 4 LOL,[]
online_aviraj,Php hai,"[{'Entity': 'Php hai', 'Sentiment': 'Neutral'}]"
online_aviraj,Pdf,"[{'Entity': 'Pdf', 'Sentiment': 'Neutral'}]"
egwmikey,When the date displayed on the smartwatch is my birthdate.,[]
maxt8203,Where can i get this for a Fitbit?,[]
leonirzgmail.com6,14h jan is my birthday ğŸ‘,[]
mortezaitsolutions,ğŸ‘,[]
tha_hernan.xyz,Como se llama la caratula?,"[{'Entity': 'Como', 'Sentiment': 'Neutral'}, {'Entity': 'la caratula', 'Sentiment': 'Neutral'}]"
hikayhan,ğŸ¤¢,[]
stephen_sinaga,kami tidak butuh frontend,"[{'Entity': 'kami', 'Sentiment': 'Neutral'}]"
ilya_nichupienko,When you're developing Microservices,[]
im_outoforder,I want this watch face.,[]
rakhmanov_lazizbek,ğŸ™ŒğŸ˜‚,[]
dielbatistaa,Howwwwwwwwww,"[{'Entity': 'Howwwwwwwwww', 'Sentiment': 'Neutral'}]"
m4tt_zz93,I want this on the starfield watch lol,[]
caua.morais,"Apple fire all frontend employers, see the new WatchOS","[{'Entity': 'Apple', 'Sentiment': 'Neutral'}]"
lee_weel,Fitbit World hereğŸ™‹ğŸ½â€â™‚ï¸ğŸ”¥,"[{'Entity': 'Fitbit World', 'Sentiment': 'Neutral'}]"
beneweiler,Normalize this,"[{'Entity': 'Normalize', 'Sentiment': 'Neutral'}]"
kellycastilloyve,@josephwfr,[]
lk_mohemed,ğŸ˜‚ğŸ˜‚ğŸ˜‚,[]
thecybershortcut,Pretty cool design!,[]
cralis.yml,anything same on pixel watches?,[]
ibelosingmycenety,Jsonify,[]
osorowski,2000 steps he definetly a programmer,[]
flyneex,JSON Watch Ultra,[]
withhoshii,@rakhi.azfa wajib belii,[]
